date,usd,eur
2026-01-27,358.9247,426.18718878
2026-01-26,355.5528,417.58609701
2026-01-23,352.7063,413.38941891
2026-01-22,349.9272,409.64927522
2026-01-21,347.2631,407.17293001
2026-01-20,344.5071,400.49294882
2026-01-16,341.7425,396.47939622
2026-01-15,339.1495,395.26856776
2026-01-14,336.4596,391.8845899
2026-01-13,330.3751,384.33196133
2026-01-09,325.3894,379.64157466
2026-01-08,321.0323,375.30923096
2026-01-07,311.8814,364.83886172
2026-01-06,308.1546,360.50390344
2026-01-05,304.6796,357.88579854
2026-01-02,301.3709,354.49354854
2025-12-30,298.1431,351.24536754
2025-12-29,294.9699,347.77836119
2025-12-26,291.3524,342.93634242
2025-12-23,288.4494,339.25110832
2025-12-22,285.4024,334.40028403
2025-12-19,282.5128,331.18975544
2025-12-18,279.5629,328.37178671
2025-12-17,276.5769,326.15607509
2025-12-16,273.5861,321.87404665
2025-12-15,270.7893,317.89851452
2025-12-12,267.7499,314.38122258
2025-12-11,265.0662,308.81802697
2025-12-10,262.1036,304.84745508
2025-12-09,257.9287,300.50756979
2025-12-05,254.8705,297.37780199
2025-12-04,251.8867,293.88125062
2025-12-03,249.1989,289.1604356
2025-12-02,247.4071,287.82847199
2025-12-01,247.3003,286.40342343
2025-11-28,245.6697,284.88104081
2025-11-27,244.6504,283.49843701
2025-11-26,243.5727,281.7600279
2025-11-25,243.1105,280.04870937
2025-11-21,241.578,278.42830812
2025-11-20,240.3209,277.61389726
2025-11-19,237.7505,275.81435505
2025-11-18,236.8389,274.35655014
2025-11-17,236.4601,274.84230343
2025-11-14,234.8715,273.08039562
2025-11-13,233.5576,270.32890854
2025-11-12,233.0458,270.25622288
2025-11-11,231.0938,267.27615626
2025-11-10,231.0462,267.63929715
2025-11-07,228.4796,263.29303665
2025-11-06,227.5567,261.16227345
2025-11-05,226.1305,259.63399488
2025-11-04,224.3762,258.41406954
2025-11-03,223.9622,258.1477902
2025-10-31,223.6459,258.80974485
2025-10-30,221.7438,258.34261419
2025-10-29,219.8737,256.36174051
2025-10-28,218.17,253.9040643
2025-10-27,216.3714,251.65508419
2025-10-24,214.419,249.02193822
2025-10-23,212.4837,246.67870184
2025-10-22,210.2825,244.02232712
2025-10-21,207.8938,242.21498744
2025-10-20,205.6754,239.9244676
2025-10-17,203.742,237.92379534
2025-10-16,201.4665,234.20077692
2025-10-15,199.1072,230.45264649
2025-10-14,197.2456,228.09086692
2025-10-13,195.2491,226.03597808
2025-10-10,193.2996,223.63797222
2025-10-09,191.3661,222.27746613
2025-10-08,189.2594,220.93574577
2025-10-07,187.2893,219.40192337
2025-10-06,185.3983,217.64833428
2025-10-03,183.1369,214.52290192
2025-10-02,181.3037,212.94300868
2025-10-01,179.4308,210.51359748
2025-09-30,177.6143,208.28473732
2025-09-29,175.6471,205.38766697
2025-09-26,173.7361,202.77608911
2025-09-25,171.8458,201.73493999
2025-09-24,169.9761,200.47321186
2025-09-23,168.4157,198.21517395
2025-09-22,166.5834,195.67552497
2025-09-19,165.4101,194.74392713
2025-09-18,163.6474,193.90744073
2025-09-17,161.888,191.78385696
2025-09-16,160.4479,188.02889401
2025-09-12,158.9289,186.58411788
2025-09-11,157.7287,184.87538655
2025-09-10,156.3739,183.33901531
2025-09-09,154.9825,182.09358872
2025-09-08,154.0108,180.88260438
2025-09-05,152.8216,177.84155235
2025-09-04,151.7627,177.0175309
2025-09-03,150.7952,175.87696561
